pid,trial,condition,count
1,1,left,15
1,2,left,13
1,3,left,13
1,4,left,15
1,5,left,13
1,6,left,14
1,7,left,16
1,8,left,15
1,1,right,14
1,2,right,15
1,3,right,15
1,4,right,15
1,5,right,15
1,6,right,15
1,7,right,16
1,8,right,15
1,1,none,14
1,2,none,15
1,3,none,13
1,4,none,15
1,5,none,15
1,6,none,17
1,7,none,15
1,8,none,16
2,1,left,11
2,2,left,14
2,3,left,13
2,4,left,13
2,5,left,13
2,6,left,14
2,7,left,12
2,8,left,12
2,1,right,15
2,2,right,13
2,3,right,12
2,4,right,15
2,5,right,15
2,6,right,15
2,7,right,15
2,8,right,16
2,1,none,16
2,2,none,15
2,3,none,16
2,4,none,15
2,5,none,15
2,6,none,15
2,7,none,16
2,8,none,16
3,1,left,11
3,2,left,11
3,3,left,11
3,4,left,12
3,5,left,13
3,6,left,13
3,7,left,15
3,8,left,15
3,1,right,15
3,2,right,16
3,3,right,14
3,4,right,15
3,5,right,17
3,6,right,15
3,7,right,16
3,8,right,16
3,1,none,14
3,2,none,14
3,3,none,14
3,4,none,14
3,5,none,14
3,6,none,15
3,7,none,16
3,8,none,15
4,1,left,11
4,2,left,15
4,3,left,14
4,4,left,13
4,5,left,14
4,6,left,13
4,7,left,13
4,8,left,15
4,1,right,13
4,2,right,13
4,3,right,14
4,4,right,14
4,5,right,12
4,6,right,14
4,7,right,15
4,8,right,11
4,1,none,12
4,2,none,12
4,3,none,14
4,4,none,15
4,5,none,15
4,6,none,14
4,7,none,14
4,8,none,13
5,1,left,13
5,2,left,12
5,3,left,15
5,4,left,14
5,5,left,14
5,6,left,13
5,7,left,13
5,8,left,14
5,1,right,14
5,2,right,13
5,3,right,15
5,4,right,16
5,5,right,13
5,6,right,14
5,7,right,15
5,8,right,18
5,1,none,13
5,2,none,15
5,3,none,16
5,4,none,13
5,5,none,16
5,6,none,15
5,7,none,15
5,8,none,15
6,1,left,10
6,2,left,14
6,3,left,16
6,4,left,13
6,5,left,16
6,6,left,16
6,7,left,14
6,8,left,15
6,1,right,14
6,2,right,15
6,3,right,18
6,4,right,18
6,5,right,18
6,6,right,15
6,7,right,19
6,8,right,16
6,1,none,16
6,2,none,17
6,3,none,17
6,4,none,15
6,5,none,16
6,6,none,17
6,7,none,16
6,8,none,17
7,1,left,11
7,2,left,14
7,3,left,14
7,4,left,16
7,5,left,11
7,6,left,12
7,7,left,12
7,8,left,11
7,1,right,14
7,2,right,16
7,3,right,15
7,4,right,16
7,5,right,16
7,6,right,16
7,7,right,18
7,8,right,17
7,1,none,15
7,2,none,17
7,3,none,15
7,4,none,17
7,5,none,16
7,6,none,18
7,7,none,18
7,8,none,16
8,1,left,12
8,2,left,14
8,3,left,13
8,4,left,12
8,5,left,12
8,6,left,12
8,7,left,13
8,8,left,12
8,1,right,14
8,2,right,14
8,3,right,15
8,4,right,14
8,5,right,14
8,6,right,12
8,7,right,12
8,8,right,14
8,1,none,14
8,2,none,14
8,3,none,13
8,4,none,15
8,5,none,13
8,6,none,13
8,7,none,14
8,8,none,14
9,1,left,13
9,2,left,13
9,3,left,14
9,4,left,14
9,5,left,13
9,6,left,15
9,7,left,15
9,8,left,16
9,1,right,13
9,2,right,13
9,3,right,16
9,4,right,15
9,5,right,15
9,6,right,15
9,7,right,15
9,8,right,16
9,1,none,14
9,2,none,14
9,3,none,15
9,4,none,14
9,5,none,14
9,6,none,15
9,7,none,14
9,8,none,16
10,1,left,10
10,2,left,10
10,3,left,14
10,4,left,12
10,5,left,12
10,6,left,12
10,7,left,14
10,8,left,11
10,1,right,11
10,2,right,12
10,3,right,12
10,4,right,14
10,5,right,13
10,6,right,15
10,7,right,14
10,8,right,14
10,1,none,12
10,2,none,13
10,3,none,13
10,4,none,14
10,5,none,14
10,6,none,15
10,7,none,13
10,8,none,12
11,1,left,13
11,2,left,14
11,3,left,13
11,4,left,14
11,5,left,15
11,6,left,15
11,7,left,15
11,8,left,14
11,1,right,13
11,2,right,16
11,3,right,15
11,4,right,16
11,5,right,18
11,6,right,16
11,7,right,17
11,8,right,19
11,1,none,15
11,2,none,15
11,3,none,16
11,4,none,18
11,5,none,16
11,6,none,17
11,7,none,17
11,8,none,16
12,1,left,9
12,2,left,12
12,3,left,12
12,4,left,13
12,5,left,11
12,6,left,8
12,7,left,12
12,8,left,11
12,1,right,14
12,2,right,14
12,3,right,17
12,4,right,15
12,5,right,15
12,6,right,16
12,7,right,16
12,8,right,16
12,1,none,16
12,2,none,16
12,3,none,17
12,4,none,17
12,5,none,17
12,6,none,18
12,7,none,20
12,8,none,19
