repx,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
1,8,-1.71,left,-1.07661901806075,0.5461754994975674,-2.1612599999999995,0.015446095000000454
1,8,-1.71,right,-0.20162571291375,0.30357459628960687,-0.800858825,0.3687213250000003
1,8,-1.35,left,-1.4125190974925,0.6422720337728001,-2.72825025,-0.10637852499999945
1,8,-1.35,right,-0.301480157507625,0.30562864343534146,-0.942031525,0.2803121250000001
1,8,-1,left,-0.79143538454375,0.5763677602281054,-1.9958084999999999,0.342831
1,8,-1,right,0.151003887156,0.31130696939034724,-0.503692425,0.7920681500000001
1,12,-1.71,left,-1.4914923262,0.4440325822744023,-2.3638285,-0.611017875
1,12,-1.71,right,-0.03515348507425,0.20646157210381205,-0.430794575,0.375661275
1,12,-1.35,left,-2.0389497942775,0.557294833418542,-3.1517544999999996,-0.9138676499999994
1,12,-1.35,right,-0.0130549347125,0.3120190027971298,-0.665359875,0.6158573500000002
1,12,-1,left,-0.437569160939425,0.4349219836005854,-1.32038375,0.406675375
1,12,-1,right,0.15822118511725,0.21017200031803485,-0.25703652499999996,0.56420585
1,16,-1.71,left,-1.8380978345,0.5072522256327758,-2.81391675,-0.8330560249999998
1,16,-1.71,right,-0.374288215301975,0.27119298408060344,-0.920327825,0.16837990000000072
1,16,-1.35,left,-0.8438503046735,0.3215210415533559,-1.45738225,-0.2028259499999997
1,16,-1.35,right,-0.203164985029325,0.2112730293818648,-0.616805175,0.2293915500000002
1,16,-1,left,-0.59882773129375,0.40562477619449205,-1.3918065,0.249889625
1,16,-1,right,-0.28117718465415,0.2012242218211788,-0.67439395,0.1266583250000002
2,8,-1.71,left,-0.949596800674,0.7519144125110209,-2.4770085,0.5311107250000002
2,8,-1.71,right,0.446313419007,0.4197500485663648,-0.390645025,1.2850620000000004
2,8,-1.35,left,-0.30080099365175,0.5615069354530688,-1.4576157499999998,0.789212725
2,8,-1.35,right,0.11812381876335,0.2892138718426396,-0.47472739999999997,0.6784307000000002
2,8,-1,left,-0.78563325252175,0.7542697640519973,-2.2415305,0.7273944000000001
2,8,-1,right,-0.0754094045085,0.28327513402404086,-0.647289725,0.4735232500000003
2,12,-1.71,left,-1.28373641792,0.5510397872174873,-2.4011544999999996,-0.20205287499999902
2,12,-1.71,right,-0.320665417496975,0.19880074535796274,-0.696289075,0.06717472250000008
2,12,-1.35,left,-0.59654280211575,0.5713310779784733,-1.703565,0.5334969000000003
2,12,-1.35,right,0.12571130032275,0.23413962750887315,-0.3460469,0.5885226500000001
2,12,-1,left,-1.1455593372085,0.42842188675096987,-1.9789080000000001,-0.26934274999999974
2,12,-1,right,-0.305257822364,0.22192956721556567,-0.740648675,0.13819267500000001
2,16,-1.71,left,-1.981289325,0.35881194523159216,-2.70315525,-1.2944035
2,16,-1.71,right,-0.01329303704655,0.18992854299383694,-0.37826825,0.37026670000000006
2,16,-1.35,left,-1.451671248025,0.3822293024295548,-2.2020787499999996,-0.6704281499999998
2,16,-1.35,right,-0.2437380380923,0.21724848711314565,-0.67150325,0.19414062500000004
2,16,-1,left,-1.1006363784,0.32605392399362315,-1.73299675,-0.4462660499999999
2,16,-1,right,-0.27579718578335,0.18059124586567016,-0.635254325,0.08656281500000008
3,8,-1.71,left,-1.524518506328,0.4984015137883248,-2.5032472499999994,-0.49530537499999977
3,8,-1.71,right,-0.0091215404369,0.28890381021425166,-0.585271425,0.553658925
3,8,-1.35,left,-1.0253384672525,0.6090209486739679,-2.2101284999999997,0.19646375000000021
3,8,-1.35,right,0.00654825242775425,0.2803389467193632,-0.5529162000000001,0.5636766000000002
3,8,-1,left,-1.14936548277,0.5946981073783469,-2.3064067500000003,0.06764752250000002
3,8,-1,right,-0.44718617967675,0.44028962680510375,-1.2885034999999998,0.43339335000000007
3,12,-1.71,left,-2.07896772875,0.3412912532499909,-2.75773875,-1.39061725
3,12,-1.71,right,-0.463614217281375,0.2341379404923165,-0.9244499,0.018302902500000037
3,12,-1.35,left,-0.61808244619875,0.41386701401758275,-1.41810375,0.18431232500000005
3,12,-1.35,right,-0.0959036461145,0.2090779027793825,-0.502107175,0.31745465000000006
3,12,-1,left,-1.127717832385,0.44088774456294993,-1.98706275,-0.22954772499999931
3,12,-1,right,-0.1775550605354425,0.2047520376358597,-0.5864415249999999,0.22522582500000007
3,16,-1.71,left,-1.480545816575,0.38791984756451503,-2.2497249999999998,-0.7105706
3,16,-1.71,right,-0.333287705674525,0.21792043312016662,-0.765474825,0.09499894250000022
3,16,-1.35,left,-0.72094378862075,0.4234591965534143,-1.53556,0.1210264500000003
3,16,-1.35,right,-0.130733083194425,0.235711940715912,-0.588165275,0.3476319
3,16,-1,left,-0.92363649949,0.31696421019627874,-1.5471995,-0.3040017249999997
3,16,-1,right,-0.099004145512175,0.15106170167673538,-0.39069869999999995,0.1949330750000003
4,8,-1.71,left,-2.2623163484575,0.6960680712973597,-3.6428737499999997,-0.8533056249999997
4,8,-1.71,right,0.11652040941855,0.28449765103364194,-0.4440589,0.6836782750000001
4,8,-1.35,left,-1.3340271563275,0.6924636423900384,-2.669682,0.09502682250000082
4,8,-1.35,right,-0.313199350038,0.28850932977619015,-0.8881572249999999,0.24419862500000003
4,8,-1,left,-1.2475143878075,0.39176338254023324,-2.01382225,-0.4459412749999999
4,8,-1,right,-0.169873399481125,0.28626365887798383,-0.7246423500000001,0.3775026250000001
4,12,-1.71,left,-1.837981577275,0.48978486677939886,-2.7778854999999996,-0.8590063749999997
4,12,-1.71,right,-0.48210168527075,0.2896520742186264,-1.0599955,0.09340170000000013
4,12,-1.35,left,-0.9156776537315,0.5343049067327977,-1.9902624999999998,0.11967267500000024
4,12,-1.35,right,-0.07681215137125,0.23615495117215998,-0.537848275,0.40133500000000005
4,12,-1,left,-1.19699230368625,0.5525321340195948,-2.264917,-0.0807892374999992
4,12,-1,right,0.176254117558,0.24244848680551603,-0.30920395,0.6496599000000002
4,16,-1.71,left,-1.371624629,0.2879480093313328,-1.9427135,-0.792555575
4,16,-1.71,right,-0.05821863458825,0.20337063780258127,-0.452513975,0.3418719000000001
4,16,-1.35,left,-0.40896420345525,0.497826775304261,-1.3868714999999998,0.6261797500000001
4,16,-1.35,right,0.195135662942125,0.1835220445336465,-0.170861925,0.56122765
4,16,-1,left,-0.630947234093,0.42514474605941405,-1.4702395,0.22622882500000024
4,16,-1,right,-0.025130896436565,0.19874858344455276,-0.41144047499999997,0.3689436000000003
5,8,-1.71,left,-1.9935936167525,0.5955124199309816,-3.164972,-0.7654294999999999
5,8,-1.71,right,-0.37957965274575,0.26329205919681126,-0.8939471499999999,0.13360740000000018
5,8,-1.35,left,-1.9952558323575,0.667279544080124,-3.2547094999999997,-0.6209207999999995
5,8,-1.35,right,0.04955394884997,0.3084137031496478,-0.549300125,0.66208425
5,8,-1,left,-1.5997171679425,0.5476197544589928,-2.688721,-0.5242861249999998
5,8,-1,right,0.071653874155625,0.29924595551691135,-0.5090941,0.65828205
5,12,-1.71,left,-1.638219002575,0.42213745885296367,-2.471973,-0.8026411999999999
5,12,-1.71,right,0.15880002354,0.21736846782578978,-0.25708185,0.5955102500000001
5,12,-1.35,left,-1.2903268144925,0.4839274752216505,-2.23420325,-0.31408532499999947
5,12,-1.35,right,-0.15311876900425,0.25694398535401786,-0.652627075,0.37123667500000007
5,12,-1,left,-0.5396486376926,0.4244049669427433,-1.3646802500000002,0.33930437500000016
5,12,-1,right,-0.208716745647225,0.19563210348353763,-0.5970975,0.17533745
5,16,-1.71,left,-1.52571786375,0.285713184208922,-2.0737870000000003,-0.93597735
5,16,-1.71,right,-0.1276066566505,0.1799258232067974,-0.4890755,0.2281473250000001
5,16,-1.35,left,-1.824999157,0.3279022275452877,-2.49097,-1.1776305
5,16,-1.35,right,0.125135284003775,0.17100942502646607,-0.207856975,0.45660734999999997
5,16,-1,left,-0.8222974741525,0.32994878355695245,-1.48153625,-0.1751246249999991
5,16,-1,right,4.636423250250001e-4,0.2178270385032851,-0.42972165,0.4353260250000002
6,8,-1.71,left,-3.2748139375,0.41335232966300134,-4.090878,-2.4243419999999998
6,8,-1.71,right,-0.1039787774753,0.29464916392693286,-0.662954025,0.4571288500000001
6,8,-1.35,left,-1.40992951525,0.47542509596486815,-2.3267135,-0.4564147249999997
6,8,-1.35,right,0.3383637728676,0.3293796855001198,-0.33216389999999996,1.00712175
6,8,-1,left,-1.504275646755,0.5723842802008883,-2.60004225,-0.32831185
6,8,-1,right,-0.633415365685,0.31046929579676374,-1.2562155,-0.018963594999999996
6,12,-1.71,left,-1.404517836675,0.47314265482555057,-2.3134842499999997,-0.480054425
