repx,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
1,8,-1.71,Intercept,14.266320075,0.41143822915304856,13.450905,15.114705
1,8,-1.71,conditionleft,-1.07661901806075,0.5461754994975674,-2.1612599999999995,0.015446095000000454
1,8,-1.71,conditionright,-0.20162571291375,0.30357459628960687,-0.800858825,0.3687213250000003
1,8,-1.35,Intercept,15.626150225,0.2975124763070264,15.0063125,16.21489
1,8,-1.35,conditionleft,-1.4125190974925,0.6422720337728001,-2.72825025,-0.10637852499999945
1,8,-1.35,conditionright,-0.301480157507625,0.30562864343534146,-0.942031525,0.2803121250000001
1,8,-1,Intercept,15.386370225,0.43425902063768423,14.492965000000002,16.26146
1,8,-1,conditionleft,-0.79143538454375,0.5763677602281054,-1.9958084999999999,0.342831
1,8,-1,conditionright,0.151003887156,0.31130696939034724,-0.503692425,0.7920681500000001
1,12,-1.71,Intercept,15.194521475,0.2953435980625846,14.5976375,15.7791425
1,12,-1.71,conditionleft,-1.4914923262,0.4440325822744023,-2.3638285,-0.611017875
1,12,-1.71,conditionright,-0.03515348507425,0.20646157210381205,-0.430794575,0.375661275
1,12,-1.35,Intercept,15.2367831,0.36009679704240644,14.4899425,15.9210125
1,12,-1.35,conditionleft,-2.0389497942775,0.557294833418542,-3.1517544999999996,-0.9138676499999994
1,12,-1.35,conditionright,-0.0130549347125,0.3120190027971298,-0.665359875,0.6158573500000002
1,12,-1,Intercept,15.007390025,0.3496086633399836,14.3025175,15.7180275
1,12,-1,conditionleft,-0.437569160939425,0.4349219836005854,-1.32038375,0.406675375
1,12,-1,conditionright,0.15822118511725,0.21017200031803485,-0.25703652499999996,0.56420585
1,16,-1.71,Intercept,14.98169725,0.29379954256302043,14.380790000000001,15.544102500000001
1,16,-1.71,conditionleft,-1.8380978345,0.5072522256327758,-2.81391675,-0.8330560249999998
1,16,-1.71,conditionright,-0.374288215301975,0.27119298408060344,-0.920327825,0.16837990000000072
1,16,-1.35,Intercept,15.054847375,0.28491352109321666,14.499425,15.637645000000001
1,16,-1.35,conditionleft,-0.8438503046735,0.3215210415533559,-1.45738225,-0.2028259499999997
1,16,-1.35,conditionright,-0.203164985029325,0.2112730293818648,-0.616805175,0.2293915500000002
1,16,-1,Intercept,15.41123585,0.1999802926018831,15.019490000000001,15.8054175
1,16,-1,conditionleft,-0.59882773129375,0.40562477619449205,-1.3918065,0.249889625
1,16,-1,conditionright,-0.28117718465415,0.2012242218211788,-0.67439395,0.1266583250000002
2,8,-1.71,Intercept,14.076833625,0.5896773406646916,12.904259999999999,15.27453
2,8,-1.71,conditionleft,-0.949596800674,0.7519144125110209,-2.4770085,0.5311107250000002
2,8,-1.71,conditionright,0.446313419007,0.4197500485663648,-0.390645025,1.2850620000000004
2,8,-1.35,Intercept,14.92613855,0.5800780364019797,13.76257,16.107464999999998
2,8,-1.35,conditionleft,-0.30080099365175,0.5615069354530688,-1.4576157499999998,0.789212725
2,8,-1.35,conditionright,0.11812381876335,0.2892138718426396,-0.47472739999999997,0.6784307000000002
2,8,-1,Intercept,14.9288095,0.541657895828888,13.880917499999999,16.01137
2,8,-1,conditionleft,-0.78563325252175,0.7542697640519973,-2.2415305,0.7273944000000001
2,8,-1,conditionright,-0.0754094045085,0.28327513402404086,-0.647289725,0.4735232500000003
2,12,-1.71,Intercept,14.74351925,0.41851392830643536,13.916095,15.551115000000001
2,12,-1.71,conditionleft,-1.28373641792,0.5510397872174873,-2.4011544999999996,-0.20205287499999902
2,12,-1.71,conditionright,-0.320665417496975,0.19880074535796274,-0.696289075,0.06717472250000008
2,12,-1.35,Intercept,14.39460795,0.40466976532913895,13.612365,15.1991475
