repx,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
1,8,-1.71,Intercept,15.4696874,0.4288549702785583,14.57007,16.280552500000002
1,8,-1.71,conditionleft,-1.34410996845,0.5369417385953574,-2.36403675,-0.25638412499999985
1,8,-1.71,conditionright,-0.4951915708349,0.32591784417591513,-1.13103575,0.14752372500000016
1,8,-1,Intercept,15.080408475,0.48953991900942084,14.078095,16.042530000000003
1,8,-1,conditionleft,-1.269417733655,0.43491504941277437,-2.088952,-0.36509719999999984
1,8,-1,conditionright,-0.1674048805195,0.2824520416470312,-0.704328975,0.406963275
1,8,-0.5,Intercept,14.71185165,0.3979946223281516,13.942195,15.5300725
1,8,-0.5,conditionleft,0.228161011330525,0.40069551684303395,-0.538027975,1.0139565
1,8,-0.5,conditionright,-0.173874614868275,0.28594766479683337,-0.73331675,0.3726628000000002
1,12,-1.71,Intercept,15.3252737,0.3389898094132499,14.638269999999999,15.9933
1,12,-1.71,conditionleft,-1.7301967668,0.384439069550426,-2.46389275,-0.9267699249999998
1,12,-1.71,conditionright,-0.3257650344214375,0.22195236620794037,-0.74948145,0.13784377500000017
1,12,-1,Intercept,14.958651575,0.37502005349400985,14.239885000000001,15.6822575
1,12,-1,conditionleft,-0.67478968475625,0.3236594788538736,-1.2879995,-0.020057377499999956
1,12,-1,conditionright,-0.18175134363725,0.21105025108639136,-0.596457775,0.2318069250000001
1,12,-0.5,Intercept,15.006088125,0.4003768678889547,14.2095525,15.778737500000002
1,12,-0.5,conditionleft,-0.24817749061325,0.41033016969327507,-1.05707775,0.5602130750000001
1,12,-0.5,conditionright,-0.4331702615625,0.19745946660864722,-0.808141925,-0.04841887749999996
1,16,-1.71,Intercept,14.504841775,0.26696672743197475,13.977087500000001,15.024802500000002
1,16,-1.71,conditionleft,-1.102919397895,0.35587258263670635,-1.7896035000000001,-0.390817325
1,16,-1.71,conditionright,0.0631573422083,0.1849575035758478,-0.309877425,0.42692420000000003
1,16,-1,Intercept,15.2111348,0.34227073288934323,14.537347500000001,15.896697499999998
1,16,-1,conditionleft,-0.6513038584925,0.3310155712529524,-1.2889475,0.006977503000000014
1,16,-1,conditionright,-0.13792001092645,0.17627735006196613,-0.47807685,0.21443487500000008
1,16,-0.5,Intercept,14.9794543,0.2882067018170345,14.417417500000001,15.5544625
1,16,-0.5,conditionleft,-0.8457885238175,0.31074575182536635,-1.439406,-0.22185877499999948
1,16,-0.5,conditionright,0.2288487366173,0.16535142271677145,-0.09652007499999998,0.55529355
2,8,-1.71,Intercept,15.0750861,0.6131589476722716,13.873855,16.284837500000002
2,8,-1.71,conditionleft,-1.1048319725725,0.4601406616927844,-1.9821360000000001,-0.13741507499999966
2,8,-1.71,conditionright,-0.197019203938925,0.2760708273158343,-0.73468627500000006,0.34404410000000013
2,8,-1,Intercept,14.92718865,0.317955259435865,14.3241575,15.48052
2,8,-1,conditionleft,-0.264180795415,0.4099148649021293,-1.062222,0.5512951250000002
2,8,-1,conditionright,0.10884968214925,0.28395767365712593,-0.46321965,0.6774070249999999
2,8,-0.5,Intercept,14.586513675,0.44362209532592006,13.6835975,15.5018
2,8,-0.5,conditionleft,-0.311377396702025,0.3957157902806708,-1.09517425,0.480226175
2,8,-0.5,conditionright,-0.19302690189175,0.27873491988896154,-0.753855975,0.35594795
2,12,-1.71,Intercept,14.6131507,0.30883306797601656,13.9869575,15.2107
2,12,-1.71,conditionleft,-1.86099925,0.44475529595938257,-2.6836447499999996,-0.918215975
2,12,-1.71,conditionright,-0.23018190316525,0.23266126987883848,-0.690503925,0.23407632500000003
2,12,-1,Intercept,14.8090232,0.34694711526680544,14.117295,15.505237500000002
2,12,-1,conditionleft,-1.0422202287325,0.4089952540180754,-1.8359137499999998,-0.23325064999999975
2,12,-1,conditionright,-0.2229205829255,0.22187087312268453,-0.661706,0.22056905
2,12,-0.5,Intercept,14.97481135,0.33050929681326285,14.2833375,15.617612499999998
2,12,-0.5,conditionleft,0.080962202238,0.3323729891660497,-0.573629025,0.742545725
2,12,-0.5,conditionright,0.010589547722,0.24171003731753796,-0.473934225,0.5057102000000001
2,16,-1.71,Intercept,14.67630625,0.2787430416023832,14.142892499999999,15.2377125
2,16,-1.71,conditionleft,-1.5076999235,0.23830472907217282,-1.9693930000000002,-1.0339827499999998
2,16,-1.71,conditionright,0.08281388011145,0.1701202738538143,-0.25145787499999994,0.41231375
2,16,-1,Intercept,14.68621005,0.3756735175414192,13.937697499999999,15.408904999999999
2,16,-1,conditionleft,-0.8385708227625,0.306237420018517,-1.4358859999999998,-0.22040234999999989
2,16,-1,conditionright,-0.099189128604,0.19509544351308383,-0.473715725,0.2934961000000001
2,16,-0.5,Intercept,15.072139175,0.26057049223420364,14.5526975,15.5755625
2,16,-0.5,conditionleft,-0.4254771818719,0.2906184301005411,-0.9728872,0.16236775
2,16,-0.5,conditionright,-0.20655309454985,0.2019864416090849,-0.6146345249999999,0.19478690000000018
3,8,-1.71,Intercept,15.159566375,0.404511697340362,14.3372675,15.954622500000001
3,8,-1.71,conditionleft,-1.2076016096675,0.49976311811576496,-2.1500905,-0.1829245249999995
3,8,-1.71,conditionright,-0.31448169264535,0.35871139328154206,-1.02015825,0.4142624000000003
3,8,-1,Intercept,14.89297915,0.4584836542785224,13.978987499999999,15.784735000000001
3,8,-1,conditionleft,-0.180588835223,0.27380825034041784,-0.70401215,0.37422997500000016
3,8,-1,conditionright,0.210634001792025,0.3840909387030444,-0.59091755,0.959226475
3,8,-0.5,Intercept,14.862082775,0.45616229939205416,13.9495075,15.7646275
3,8,-0.5,conditionleft,0.13130673525875,0.4705043762135694,-0.79659385,1.05799925
3,8,-0.5,conditionright,0.1553932634373,0.23907175876907,-0.30954950000000003,0.6412986500000002
3,12,-1.71,Intercept,14.876292575,0.3688182677363248,14.158940000000001,15.599409999999999
3,12,-1.71,conditionleft,-1.844734833785,0.4973388892407295,-2.7644137499999997,-0.7925435749999998
3,12,-1.71,conditionright,0.0206101872744,0.20462811349005694,-0.380410625,0.4279576000000001
3,12,-1,Intercept,14.53116455,0.21995457392822157,14.0988775,14.985207500000001
3,12,-1,conditionleft,-0.7000694028525,0.3444964326857531,-1.3747227499999999,-0.012958329999999824
3,12,-1,conditionright,0.10522150252425,0.2277362212619991,-0.34952085,0.5604532250000002
3,12,-0.5,Intercept,15.2689699,0.3840051013312871,14.4926425,16.0121125
3,12,-0.5,conditionleft,-0.9990243277825,0.422900160335351,-1.8012472499999999,-0.12692292499999955
3,12,-0.5,conditionright,-0.144762414947,0.21011115499633268,-0.565701425,0.27164412500000024
3,16,-1.71,Intercept,15.0136875,0.27025949591556103,14.465697500000001,15.55203
3,16,-1.71,conditionleft,-1.8248260715,0.31861490834849265,-2.43932475,-1.1913164999999997
3,16,-1.71,conditionright,-0.231637562457775,0.19421024312959959,-0.614424575,0.14787507500000024
3,16,-1,Intercept,14.888482125,0.3562775778464081,14.173475000000002,15.5704025
3,16,-1,conditionleft,-1.61602345925,0.2999443582008553,-2.20210075,-1.0060967999999995
3,16,-1,conditionright,-0.00382758598975,0.18455386645715466,-0.36870464999999997,0.3570000250000001
3,16,-0.5,Intercept,14.717365975,0.19395056161271318,14.3250775,15.100547500000001
3,16,-0.5,conditionleft,-0.136040246699375,0.3265061023242582,-0.76524895,0.49657402500000003
3,16,-0.5,conditionright,0.18268795850987,0.19753192317348212,-0.206809075,0.5718818
4,8,-1.71,Intercept,15.467933075,0.4404451090681674,14.6269425,16.331505
4,8,-1.71,conditionleft,-1.15994420909725,0.474660966437677,-2.0350125,-0.16569152499999984
4,8,-1.71,conditionright,-0.5019605695175,0.2632163128146531,-1.02300725,0.0037921085000000624
4,8,-1,Intercept,14.599666775,0.36974717878931146,13.872997499999999,15.3038425
4,8,-1,conditionleft,-0.4860936582405,0.35698920743735824,-1.1846822499999998,0.21548945000000003
4,8,-1,conditionright,-0.32571862967875,0.23066135857140885,-0.774926025,0.12364077500000001
4,8,-0.5,Intercept,14.790062675,0.5164641586994684,13.800597499999999,15.833977500000001
4,8,-0.5,conditionleft,-0.7493480034025,0.3429252660058317,-1.4147055000000002,-0.04924179749999993
4,8,-0.5,conditionright,0.0187310295619,0.26848726278386836,-0.5164561249999999,0.5222100500000003
4,12,-1.71,Intercept,14.98099635,0.3012849073062242,14.372157499999998,15.56113
4,12,-1.71,conditionleft,-2.2040633495,0.2894481739835872,-2.7603235,-1.6014167499999998
4,12,-1.71,conditionright,-0.458520291046325,0.23559001530346085,-0.925657075,0.008921653000000114
4,12,-1,Intercept,14.712225225,0.31101674204881324,14.09612,15.339805000000002
4,12,-1,conditionleft,-0.747494393449,0.3395336762936226,-1.3925664999999998,-0.05505873249999995
4,12,-1,conditionright,-0.26235877986975,0.21804460073144588,-0.697779525,0.16840620000000017
4,12,-0.5,Intercept,15.1106897,0.33161331094500557,14.4456575,15.7514175
4,12,-0.5,conditionleft,-0.747213090522,0.4474536996778721,-1.6319765,0.1609966500000002
4,12,-0.5,conditionright,-0.202891242177525,0.2358352472814753,-0.6700409749999999,0.26344050000000013
4,16,-1.71,Intercept,15.12369095,0.24626036423843406,14.619495,15.601807500000001
4,16,-1.71,conditionleft,-1.651695175,0.3463952814449227,-2.29857225,-0.941188975
4,16,-1.71,conditionright,0.028457796616975,0.2095579884214924,-0.3805064,0.43462342500000006
4,16,-1,Intercept,14.77786325,0.2858681264164697,14.189387499999999,15.3082225
4,16,-1,conditionleft,-0.7138269760215,0.3325177786152079,-1.3750479999999998,-0.06205091749999991
4,16,-1,conditionright,-1.9156836225000016e-4,0.17885019622202455,-0.3526374,0.3456952000000001
4,16,-0.5,Intercept,14.223138775,0.2462215339992638,13.7392725,14.7039275
4,16,-0.5,conditionleft,-0.139766815382,0.33405056344388073,-0.7964309,0.5275889250000001
4,16,-0.5,conditionright,-0.0410262391701,0.18437481609606934,-0.40134097499999993,0.31850595000000004
5,8,-1.71,Intercept,14.8391748,0.5602480127799794,13.7827175,15.9450275
5,8,-1.71,conditionleft,-1.4025926870775,0.42936532764447394,-2.170725,-0.4530101499999998
5,8,-1.71,conditionright,-0.0478959041262075,0.2550363853576919,-0.545339275,0.4547521250000001
5,8,-1,Intercept,14.707710375,0.1954737083536396,14.323575,15.074410000000002
5,8,-1,conditionleft,-1.064263949465,0.46329204753195674,-1.9314275,-0.10818262499999992
5,8,-1,conditionright,-0.05950133448275,0.27683113137750603,-0.584762625,0.48464565000000004
5,8,-0.5,Intercept,15.29928525,0.38712020345807174,14.517094999999998,16.085055
5,8,-0.5,conditionleft,-0.34041026770625,0.48872046403763786,-1.288841,0.6370157750000002
5,8,-0.5,conditionright,-0.38742654542775,0.24974211714375766,-0.87701185,0.10717782500000027
5,12,-1.71,Intercept,14.63329265,0.3786316430863433,13.8697775,15.343555
5,12,-1.71,conditionleft,-1.1766535024175,0.5236421012803173,-2.17039775,-0.07677770499999982
5,12,-1.71,conditionright,0.295599379037175,0.2615821109377733,-0.2365744,0.8250567249999999
5,12,-1,Intercept,15.173636625,0.3755019913695399,14.4343775,15.9092125
5,12,-1,conditionleft,-0.8081823056825,0.4101283600459437,-1.6136062500000001,0.010358492500000451
5,12,-1,conditionright,-0.210196748769725,0.19930065766977917,-0.60496275,0.18567367500000012
5,12,-0.5,Intercept,15.51223895,0.3238550781998276,14.8599075,16.1426025
5,12,-0.5,conditionleft,-0.14474854398425,0.41618087908422036,-0.938526725,0.6822778500000001
5,12,-0.5,conditionright,-0.24940292521875,0.18476996446925778,-0.61953945,0.11115137500000016
5,16,-1.71,Intercept,14.2877074,0.3915315936389353,13.4924825,15.05068
5,16,-1.71,conditionleft,-1.14999172486,0.3964157686964752,-1.9317342499999999,-0.35233977499999986
5,16,-1.71,conditionright,0.08382357106075,0.18987593939333028,-0.2926969,0.45432122500000005
5,16,-1,Intercept,15.645090575,0.34092314070863106,14.97485,16.3219325
5,16,-1,conditionleft,-1.08917734285,0.35956316305030595,-1.80168025,-0.37019469999999993
5,16,-1,conditionright,0.0359933019435,0.2120897144589501,-0.3742126499999999,0.4548284000000001
5,16,-0.5,Intercept,14.9611967,0.16065460892844777,14.641097499999999,15.274709999999999
5,16,-0.5,conditionleft,-0.13461411148325,0.3276340474444248,-0.7724419750000001,0.506833175
5,16,-0.5,conditionright,-0.22101891252425,0.2137575318047558,-0.641919325,0.19375870000000003
6,8,-1.71,Intercept,14.577564075,0.30869044934249784,13.9456675,15.174645
6,8,-1.71,conditionleft,-1.30647616255,0.31615654506495755,-1.9051529999999999,-0.6697866499999995
6,8,-1.71,conditionright,0.048746567076275,0.2970055837638823,-0.52267135,0.6370772
6,8,-1,Intercept,14.714159425,0.48076364434782404,13.7605925,15.685732500000002
6,8,-1,conditionleft,-0.97625992804015,0.4450540429071604,-1.82712025,-0.024699177499999933
6,8,-1,conditionright,-0.1301192356555,0.2902314738705092,-0.6842625999999999,0.44675650000000006
6,8,-0.5,Intercept,15.291712525,0.35229633775846136,14.55386,15.979719999999999
6,8,-0.5,conditionleft,-1.51917600395,0.3232638751091895,-2.122902,-0.7998223249999998
6,8,-0.5,conditionright,-0.34416803752475,0.30474868206117806,-0.9683368,0.26149990000000006
6,12,-1.71,Intercept,14.444489075,0.3279520943631763,13.8054575,15.094769999999999
6,12,-1.71,conditionleft,-0.59348553379225,0.3748476152094649,-1.31538425,0.17463660000000028
6,12,-1.71,conditionright,-0.321602818163975,0.2735133675972582,-0.856539675,0.223171125
6,12,-1,Intercept,15.596418725,0.384398067451489,14.8267525,16.39293
6,12,-1,conditionleft,-0.74242515566375,0.2506992065115099,-1.24234125,-0.23741269999999995
6,12,-1,conditionright,-0.181887320854,0.1821829850314042,-0.538626675,0.1809462000000001
6,12,-0.5,Intercept,14.48822125,0.4127825430725043,13.6739775,15.2909175
6,12,-0.5,conditionleft,0.3153727101285,0.46835656321666796,-0.63876855,1.2460557500000007
6,12,-0.5,conditionright,-0.17598932116075,0.19943758723468316,-0.5670547,0.21318342500000018
6,16,-1.71,Intercept,15.26902535,0.38805486419033963,14.4871,16.017205
6,16,-1.71,conditionleft,-1.80634075125,0.38157063132618585,-2.5049865,-1.0014876999999998
6,16,-1.71,conditionright,-0.36308871176949997,0.22964452279921016,-0.8030710750000001,0.10248065000000005
6,16,-1,Intercept,15.216091475,0.2486946694834486,14.7306275,15.731319999999998
6,16,-1,conditionleft,-1.0782768544225,0.4109315624232636,-1.8594357499999998,-0.2469001999999999
6,16,-1,conditionright,-0.11046106929225,0.17759252384999408,-0.45505512499999995,0.24550157500000003
6,16,-0.5,Intercept,14.97468635,0.26879904920012315,14.448745,15.4944325
6,16,-0.5,conditionleft,-0.34629435969375,0.3706079661986076,-1.07332025,0.3990070750000001
6,16,-0.5,conditionright,-0.3415189325567725,0.18270796741720835,-0.706299525,0.018362000000000003
7,8,-1.71,Intercept,14.71687185,0.3377827731294674,13.98892,15.3581225
7,8,-1.71,conditionleft,-0.9862417404,0.27889001131353913,-1.5166375,-0.41834429999999995
7,8,-1.71,conditionright,-0.017795489457375,0.28588848439217396,-0.5741263249999999,0.5507077250000002
7,8,-1,Intercept,15.12697615,0.5102950330508486,14.1451875,16.117035
7,8,-1,conditionleft,-1.235604814225,0.40552258785856377,-1.9805675,-0.3888888249999996
7,8,-1,conditionright,-0.241988115694025,0.3100816587715991,-0.8403893250000001,0.39248790000000017
7,8,-0.5,Intercept,15.381276725,0.377172120129292,14.63049,16.1055375
7,8,-0.5,conditionleft,-0.78852417996675,0.40403943018497673,-1.5639112499999999,0.06263442000000011
7,8,-0.5,conditionright,-0.30784861800025,0.26166803835137703,-0.8366120749999999,0.21495125
7,12,-1.71,Intercept,15.264269475,0.3088828150271218,14.6188325,15.850755000000001
7,12,-1.71,conditionleft,-1.369082654975,0.3330063099192132,-2.000175,-0.69256925
7,12,-1.71,conditionright,0.251520391090525,0.21631622190042807,-0.18257425,0.68000635
7,12,-1,Intercept,14.4305151,0.3166134269302522,13.815574999999999,15.0679175
7,12,-1,conditionleft,-0.81571778601325,0.4590177083121353,-1.70345175,0.10269585000000006
7,12,-1,conditionright,-0.33661217395025,0.23219987654064125,-0.78813485,0.12705312500000002
7,12,-0.5,Intercept,14.7175484,0.34918008400423745,14.0267125,15.3888125
7,12,-0.5,conditionleft,-0.2949356459725,0.40832039915566637,-1.0884727499999998,0.5292400250000008
7,12,-0.5,conditionright,-0.315215381748,0.21035750021913305,-0.7457388,0.0942943800000001
7,16,-1.71,Intercept,14.96520355,0.3748962938736359,14.230697500000002,15.7012675
7,16,-1.71,conditionleft,-1.84543366225,0.40772751310262334,-2.61683625,-1.007291
7,16,-1.71,conditionright,-0.47942139483325,0.20167191714309687,-0.874842475,-0.07275667
7,16,-1,Intercept,15.29802815,0.3850090318631909,14.524285,16.044815
7,16,-1,conditionleft,-1.16269027002,0.39295284801973496,-1.9199220000000001,-0.40052842499999974
7,16,-1,conditionright,-0.16363453310475,0.18930663545502824,-0.533752675,0.21684880000000034
7,16,-0.5,Intercept,14.919005675,0.2730539848179305,14.3874775,15.443425000000001
7,16,-0.5,conditionleft,-0.46960230101775,0.3730707855642973,-1.19297575,0.28822915
7,16,-0.5,conditionright,-0.03414241870635,0.16007857195304914,-0.349598225,0.2897158500000002
8,8,-1.71,Intercept,14.545689175,0.36717061587307004,13.826694999999999,15.2643225
8,8,-1.71,conditionleft,-0.72049910405945,0.5641225227770282,-1.8196984999999999,0.37217300000000003
8,8,-1.71,conditionright,0.07573669901625,0.3206823131913182,-0.5619618000000001,0.7197442750000002
8,8,-1,Intercept,14.835501175,0.4222594552677419,13.976567499999998,15.6509375
8,8,-1,conditionleft,-0.3549742288785,0.348014474937936,-1.0472245,0.33538205
8,8,-1,conditionright,-0.05007859119575,0.2861159116177278,-0.60974455,0.5113772000000001
8,8,-0.5,Intercept,15.260169675,0.4121852736911598,14.4331825,16.0910875
8,8,-0.5,conditionleft,-0.46958729537425,0.43729808935044373,-1.315809,0.39308550000000014
8,8,-0.5,conditionright,0.136060858903,0.2642406910537067,-0.386931875,0.651617
8,12,-1.71,Intercept,14.780761775,0.34133095356459353,14.092052500000001,15.4444325
8,12,-1.71,conditionleft,-1.2993120193425,0.4110735913496898,-2.0693414999999997,-0.44704124999999995
8,12,-1.71,conditionright,0.08950376585975,0.17880362886536552,-0.265078275,0.43564577500000007
8,12,-1,Intercept,15.073884225,0.38172892856367985,14.305094999999998,15.8308525
8,12,-1,conditionleft,-0.7250358391725,0.3817602903638319,-1.4619997500000002,0.05232066000000005
8,12,-1,conditionright,-0.1144177264829,0.20548866525753487,-0.515826125,0.2961718250000004
8,12,-0.5,Intercept,14.395077,0.244855452602484,13.9291825,14.8781075
8,12,-0.5,conditionleft,0.37882497300875,0.4345183227024878,-0.48929922499999995,1.2473872500000003
8,12,-0.5,conditionright,-0.0251800662543075,0.24392620353100727,-0.5119274,0.47604310000000005
8,16,-1.71,Intercept,15.13659885,0.29412988097165105,14.5483675,15.714075000000001
8,16,-1.71,conditionleft,-1.139360881275,0.32244558670366164,-1.7603024999999999,-0.5076244499999999
8,16,-1.71,conditionright,-0.27366897151402503,0.22124532508259473,-0.713827175,0.16072495000000012
8,16,-1,Intercept,14.97587855,0.23719547888545098,14.5075875,15.434607499999998
8,16,-1,conditionleft,-0.661464687575,0.29475103516785156,-1.2256879999999999,-0.07999099999999884
8,16,-1,conditionright,-0.221802445544975,0.1917267750135854,-0.61219415,0.16376540000000028
8,16,-0.5,Intercept,14.996679375,0.2975345267372504,14.4150725,15.5796275
8,16,-0.5,conditionleft,-0.756874048764,0.3705116955052317,-1.473374,-0.015555162499999992
8,16,-0.5,conditionright,-0.392279134177,0.19111345332809132,-0.7632652999999999,-0.010529538749999937
9,8,-1.71,Intercept,14.694044825,0.5741153962229758,13.5550275,15.840062499999998
9,8,-1.71,conditionleft,-2.00253898175,0.5284485918822321,-2.9381779999999997,-0.8331698249999997
9,8,-1.71,conditionright,-0.1126946592295,0.33917026753269364,-0.764777975,0.5884515250000004
9,8,-1,Intercept,14.762445525,0.3920425644340884,13.9678325,15.535305
9,8,-1,conditionleft,-0.632870363478,0.43532548223071327,-1.4774915,0.27553552500000017
9,8,-1,conditionright,0.1969945113765,0.27219725662827104,-0.349376625,0.7163319750000002
9,8,-0.5,Intercept,14.92468845,0.3943616165370902,14.1314475,15.69611
9,8,-0.5,conditionleft,0.4455271400125,0.3151763816428628,-0.19509607499999998,1.0624045000000002
9,8,-0.5,conditionright,-0.128339743941105,0.25058754599717115,-0.616582375,0.35331585000000043
9,12,-1.71,Intercept,14.960548,0.28597254053402554,14.387367499999998,15.532965
9,12,-1.71,conditionleft,-0.93180190517712,0.38817362815712864,-1.6696357499999999,-0.121952775
9,12,-1.71,conditionright,-0.14187088542025,0.23686986275005703,-0.5973576999999999,0.31683145
